time [nanoSec],	 voltage[mV] 
1744,	 -0.006759
1746,	 -0.007451
1748,	 -0.007279
1750,	 -0.007451
1752,	 -0.007105
1754,	 -0.007105
1756,	 -0.006759
1758,	 -0.007279
1760,	 -0.006932
1762,	 -0.007105
1764,	 -0.006759
1766,	 -0.007279
1768,	 -0.007279
1770,	 -0.007279
1772,	 -0.007451
1774,	 -0.007451
1776,	 -0.007279
1778,	 -0.007625
1780,	 -0.007279
1782,	 -0.007972
1784,	 -0.007279
1786,	 -0.006759
1788,	 -0.007451
1790,	 -0.007105
1792,	 -0.006932
1794,	 -0.007798
1796,	 -0.006932
1798,	 -0.007625
1800,	 -0.007105
1802,	 -0.007105
1804,	 -0.006585
1806,	 -0.006759
1808,	 -0.007105
1810,	 -0.006932
1812,	 -0.007279
1814,	 -0.007451
1816,	 -0.007625
1818,	 -0.007105
1820,	 -0.006932
1822,	 -0.007279
1824,	 -0.007451
1826,	 -0.006932
1828,	 -0.007279
1830,	 -0.008145
1832,	 -0.007625
1834,	 -0.007451
1836,	 -0.007451
1838,	 -0.007105
1840,	 -0.007279
1842,	 -0.007279
1844,	 -0.007279
1846,	 -0.007625
1848,	 -0.007798
1850,	 -0.007451
1852,	 -0.006932
1854,	 -0.006932
1856,	 -0.007279
1858,	 -0.007972
1860,	 -0.007279
1862,	 -0.007279
1864,	 -0.007625
1866,	 -0.007451
1868,	 -0.007451
1870,	 -0.007279
1872,	 -0.007625
1874,	 -0.007451
1876,	 -0.007625
1878,	 -0.007625
1880,	 -0.007625
1882,	 -0.007625
1884,	 -0.007105
1886,	 -0.007105
1888,	 -0.007279
1890,	 -0.007451
1892,	 -0.006932
1894,	 -0.006932
1896,	 -0.007625
1898,	 -0.007625
1900,	 -0.007279
1902,	 -0.007105
1904,	 -0.007625
1906,	 -0.007798
1908,	 -0.006932
1910,	 -0.007625
1912,	 -0.007279
1914,	 -0.006932
1916,	 -0.007105
1918,	 -0.007625
1920,	 -0.007279
1922,	 -0.007279
1924,	 -0.007625
1926,	 -0.007625
1928,	 -0.007279
1930,	 -0.007451
1932,	 -0.007279
1934,	 -0.007279
1936,	 -0.007625
1938,	 -0.007451
1940,	 -0.007105
1942,	 -0.007451
1944,	 -0.007279
1946,	 -0.007105
1948,	 -0.007972
1950,	 -0.007625
1952,	 -0.007279
1954,	 -0.007451
1956,	 -0.007105
1958,	 -0.007105
1960,	 -0.007105
1962,	 -0.007451
1964,	 -0.007625
1966,	 -0.007451
1968,	 -0.006759
1970,	 -0.007105
1972,	 -0.007279
1974,	 -0.007625
1976,	 -0.007451
1978,	 -0.007451
1980,	 -0.007105
1982,	 -0.007279
1984,	 -0.007451
1986,	 -0.007279
1988,	 -0.006759
1990,	 -0.007279
1992,	 -0.007451
1994,	 -0.007279
1996,	 -0.006759
1998,	 -0.006932
2000,	 -0.007798
2002,	 -0.007625
2004,	 -0.007279
2006,	 -0.007625
2008,	 -0.006932
2010,	 -0.007625
2012,	 -0.007279
2014,	 -0.007451
2016,	 -0.007451
2018,	 -0.007105
2020,	 -0.007105
2022,	 -0.007625
2024,	 -0.007451
2026,	 -0.007798
2028,	 -0.007105
2030,	 -0.007451
2032,	 -0.007625
2034,	 -0.007279
2036,	 -0.007105
2038,	 -0.007625
2040,	 -0.007279
2042,	 -0.007798
2044,	 -0.007798
2046,	 -0.007972
2048,	 -0.007798
2050,	 -0.007625
2052,	 -0.007451
2054,	 -0.007451
2056,	 -0.007279
2058,	 -0.007798
2060,	 -0.006932
2062,	 -0.006932
2064,	 -0.007625
2066,	 -0.007625
2068,	 -0.007279
2070,	 -0.007798
2072,	 -0.007279
2074,	 -0.007279
2076,	 -0.007105
2078,	 -0.007625
2080,	 -0.007105
2082,	 -0.007625
2084,	 -0.007451
2086,	 -0.007625
2088,	 -0.007625
2090,	 -0.007105
2092,	 -0.006759
2094,	 -0.007279
2096,	 -0.007625
2098,	 -0.007798
2100,	 -0.007279
2102,	 -0.007798
2104,	 -0.007105
2106,	 -0.007451
2108,	 -0.007798
2110,	 -0.007451
2112,	 -0.007798
2114,	 -0.007625
2116,	 -0.006932
2118,	 -0.007451
2120,	 -0.007625
